source_ip,destination_ip,port,protocol,reachable
192.168.100.6,192.168.100.4,80,tcp,True
192.168.100.6,192.168.100.5,3306,tcp,True
192.168.100.6,192.168.100.7,80,tcp,True
192.168.100.6,192.168.100.8,80,tcp,True
192.168.100.4,192.168.100.5,3306,tcp,True
192.168.100.4,192.168.100.7,80,tcp,True
192.168.100.4,192.168.100.8,80,tcp,True
192.168.100.7,192.168.100.4,80,tcp,True
192.168.100.7,192.168.100.5,3306,tcp,True
192.168.100.7,192.168.100.8,80,tcp,True
192.168.100.8,192.168.100.4,80,tcp,True
192.168.100.8,192.168.100.5,3306,tcp,True
192.168.100.8,192.168.100.7,80,tcp,True
