source,target,protocol,port,connection_type,justification
external_attacker,192.168.100.7,tcp,21,initial_access,Public-facing FTP service
external_attacker,192.168.100.7,tcp,80,initial_access,Public-facing HTTP service
external_attacker,192.168.100.7,tcp,8180,initial_access,Public-facing web service
external_attacker,192.168.100.8,tcp,80,initial_access,Public-facing web service
external_attacker,192.168.100.8,tcp,443,initial_access,Public-facing HTTPS service
external_attacker,192.168.100.8,tcp,8080,initial_access,Public-facing Tomcat service
external_attacker,192.168.100.8,tcp,8081,initial_access,Public-facing Jetty service
192.168.100.7,192.168.100.4,tcp,22,lateral_movement,Compromised DMZ host can reach application SSH
192.168.100.7,192.168.100.4,tcp,80,lateral_movement,Compromised DMZ host can reach application HTTP
192.168.100.8,192.168.100.4,tcp,22,lateral_movement,Compromised web host can reach application SSH
192.168.100.8,192.168.100.4,tcp,80,lateral_movement,Compromised web host can reach application HTTP
192.168.100.4,192.168.100.5,tcp,3306,application_dependency,Application server connects to MySQL database
192.168.100.4,192.168.100.5,tcp,22,administrative_path,Application environment can reach database SSH
