cve_id,epss_found,epss,percentile
CVE-1999-0678,True,0.31408,0.98109
CVE-2003-1418,True,0.06581,0.93171
CVE-2003-1567,True,0.25249,0.97733
CVE-2004-2320,True,0.02582,0.83743
CVE-2004-2687,True,0.88195,0.99753
CVE-2004-2763,True,0.02178,0.80619
CVE-2005-3398,True,0.13108,0.95978
CVE-2006-2247,True,0.01655,0.74328
CVE-2006-4683,True,0.0133,0.68355
CVE-2007-3008,True,0.01454,0.70948
CVE-2008-5304,True,0.02243,0.81172
CVE-2008-5305,True,0.0464,0.90843
CVE-2008-5318,True,0.01268,0.66993
CVE-2008-5319,True,0.01268,0.66993
CVE-2008-7253,True,0.02093,0.79846
CVE-2009-0796,True,0.29638,0.98012
CVE-2009-1204,True,0.0454,0.90654
CVE-2009-1339,True,0.00748,0.5147
CVE-2009-2823,True,0.01684,0.74772
CVE-2009-4898,True,0.00578,0.44422
CVE-2010-0386,True,0.01692,0.74897
CVE-2010-0636,True,0.01065,0.61507
CVE-2010-0637,True,0.00599,0.45384
CVE-2010-0638,True,0.00571,0.44073
CVE-2010-1133,True,0.01418,0.70248
CVE-2010-1134,True,0.01269,0.66999
CVE-2010-1135,True,0.01553,0.72751
CVE-2010-1136,True,0.0167,0.74555
CVE-2010-3712,True,0.01528,0.72294
CVE-2010-4480,True,0.05829,0.92439
CVE-2011-0411,True,0.16334,0.9665
CVE-2011-1430,True,0.03212,0.86971
CVE-2011-1431,True,0.04593,0.9076
CVE-2011-1432,True,0.02283,0.81499
CVE-2011-1506,True,0.02471,0.82976
CVE-2011-1575,True,0.33341,0.98214
CVE-2011-1926,True,0.03999,0.89543
CVE-2011-2165,True,0.05156,0.9163
CVE-2011-3192,True,0.98945,0.99925
CVE-2012-0053,True,0.82756,0.9964
CVE-2012-1823,True,0.99998,0.9999
CVE-2012-2223,True,0.01344,0.68701
CVE-2012-2311,True,0.69559,0.993
CVE-2012-2335,True,0.32542,0.98174
CVE-2012-2336,True,0.50723,0.98812
CVE-2012-4929,True,0.04266,0.9013
CVE-2012-4930,True,0.02079,0.79687
CVE-2012-6708,True,0.08632,0.94575
CVE-2013-2566,True,0.84424,0.99677
CVE-2014-0224,True,0.95326,0.99858
CVE-2014-3566,True,0.99999,1.0
CVE-2014-7883,True,0.37022,0.98369
CVE-2014-8363,True,0.02149,0.80371
CVE-2014-8364,True,0.01633,0.73984
CVE-2015-0204,True,0.98685,0.99921
CVE-2015-2808,True,0.73851,0.99428
CVE-2015-4000,True,0.9986,0.99962
CVE-2016-0800,True,0.82112,0.99622
CVE-2016-10143,True,0.01849,0.7705
CVE-2016-1776,True,0.01813,0.76577
CVE-2016-2183,True,0.95707,0.99865
CVE-2016-6329,True,0.0594,0.92553
CVE-2016-7144,True,0.01281,0.67283
CVE-2017-11612,True,0.00965,0.58373
CVE-2017-14596,True,0.06878,0.93423
CVE-2017-7983,True,0.01129,0.63317
CVE-2017-7985,True,0.01333,0.68441
CVE-2017-7986,True,0.00787,0.5276
CVE-2018-15880,True,0.01033,0.60537
CVE-2018-15882,True,0.02932,0.85766
CVE-2018-17855,True,0.019,0.77691
CVE-2018-20212,True,0.01586,0.73247
CVE-2018-20719,True,0.00995,0.59365
CVE-2018-6378,True,0.01413,0.70163
CVE-2018-6379,True,0.01665,0.74476
CVE-2018-6470,True,0.01065,0.61515
CVE-2018-7188,True,0.00516,0.4111
