cve_id,in_kev,vendor,product,vulnerability_name,date_added,ransomware_use,cwes
CVE-1999-0678,False,,,,,,
CVE-2003-1418,False,,,,,,
CVE-2003-1567,False,,,,,,
CVE-2004-2320,False,,,,,,
CVE-2004-2687,False,,,,,,
CVE-2004-2763,False,,,,,,
CVE-2005-3398,False,,,,,,
CVE-2006-2247,False,,,,,,
CVE-2006-4683,False,,,,,,
CVE-2007-3008,False,,,,,,
CVE-2008-5304,False,,,,,,
CVE-2008-5305,False,,,,,,
CVE-2008-5318,False,,,,,,
CVE-2008-5319,False,,,,,,
CVE-2008-7253,False,,,,,,
CVE-2009-0796,False,,,,,,
CVE-2009-1204,False,,,,,,
CVE-2009-1339,False,,,,,,
CVE-2009-2823,False,,,,,,
CVE-2009-4898,False,,,,,,
CVE-2010-0386,False,,,,,,
CVE-2010-0636,False,,,,,,
CVE-2010-0637,False,,,,,,
CVE-2010-0638,False,,,,,,
CVE-2010-1133,False,,,,,,
CVE-2010-1134,False,,,,,,
CVE-2010-1135,False,,,,,,
CVE-2010-1136,False,,,,,,
CVE-2010-3712,False,,,,,,
CVE-2010-4480,False,,,,,,
CVE-2011-0411,False,,,,,,
CVE-2011-1430,False,,,,,,
CVE-2011-1431,False,,,,,,
CVE-2011-1432,False,,,,,,
CVE-2011-1506,False,,,,,,
CVE-2011-1575,False,,,,,,
CVE-2011-1926,False,,,,,,
CVE-2011-2165,False,,,,,,
CVE-2011-3192,False,,,,,,
CVE-2012-0053,False,,,,,,
CVE-2012-1823,True,PHP,PHP,PHP-CGI Query String Parameter Vulnerability,2022-03-25,Unknown,CWE-20
CVE-2012-2223,False,,,,,,
CVE-2012-2311,False,,,,,,
CVE-2012-2335,False,,,,,,
CVE-2012-2336,False,,,,,,
CVE-2012-4929,False,,,,,,
CVE-2012-4930,False,,,,,,
CVE-2012-6708,False,,,,,,
CVE-2013-2566,False,,,,,,
CVE-2014-0224,False,,,,,,
CVE-2014-3566,False,,,,,,
CVE-2014-7883,False,,,,,,
CVE-2014-8363,False,,,,,,
CVE-2014-8364,False,,,,,,
CVE-2015-0204,False,,,,,,
CVE-2015-2808,False,,,,,,
CVE-2015-4000,False,,,,,,
CVE-2016-0800,False,,,,,,
CVE-2016-10143,False,,,,,,
CVE-2016-1776,False,,,,,,
CVE-2016-2183,False,,,,,,
CVE-2016-6329,False,,,,,,
CVE-2016-7144,False,,,,,,
CVE-2017-11612,False,,,,,,
CVE-2017-14596,False,,,,,,
CVE-2017-7983,False,,,,,,
CVE-2017-7985,False,,,,,,
CVE-2017-7986,False,,,,,,
CVE-2018-15880,False,,,,,,
CVE-2018-15882,False,,,,,,
CVE-2018-17855,False,,,,,,
CVE-2018-20212,False,,,,,,
CVE-2018-20719,False,,,,,,
CVE-2018-6378,False,,,,,,
CVE-2018-6379,False,,,,,,
CVE-2018-6470,False,,,,,,
CVE-2018-7188,False,,,,,,
