graph_nodes,graph_edges,attack_nodes,attack_edges,vulnerability_count,path_count,execution_seconds,peak_memory_mb,scenario,run,host_count,vulns_per_host
23,33,5,8,15,6,0.00595569983124733,0.07647132873535156,S1,1,5,5
23,33,5,8,15,6,0.003118900116533041,0.03318214416503906,S1,2,5,5
23,33,5,8,15,6,0.0018903003074228764,0.03301429748535156,S1,3,5,5
23,33,5,8,15,6,0.0014315000735223293,0.03274726867675781,S1,4,5,5
23,33,5,8,15,6,0.0021106996573507786,0.03269386291503906,S1,5,5,5
98,168,10,23,80,36,0.01176149956882,0.12229156494140625,S2,1,10,10
98,168,10,23,80,36,0.06888330029323697,0.1201629638671875,S2,2,10,10
98,168,10,23,80,36,0.022134900093078613,0.11238861083984375,S2,3,10,10
98,168,10,23,80,36,0.04380069999024272,0.120361328125,S2,4,10,10
98,168,10,23,80,36,0.014033200219273567,0.12032318115234375,S2,5,10,10
398,738,20,53,360,171,0.06728369975462556,0.45569419860839844,S3,1,20,20
398,738,20,53,360,171,0.02383279986679554,0.45198631286621094,S3,2,20,20
398,738,20,53,360,171,0.028130600228905678,0.4613170623779297,S3,3,20,20
398,738,20,53,360,171,0.026325299870222807,0.46130943298339844,S3,4,20,20
398,738,20,53,360,171,0.0244335001334548,0.4520702362060547,S3,5,20,20
1598,3078,40,113,1520,741,0.16475229989737272,1.849069595336914,S4,1,40,40
1598,3078,40,113,1520,741,0.11302149994298816,1.832315444946289,S4,2,40,40
1598,3078,40,113,1520,741,0.10499580018222332,1.841348648071289,S4,3,40,40
1598,3078,40,113,1520,741,0.12060489971190691,1.8413410186767578,S4,4,40,40
1598,3078,40,113,1520,741,0.12329840008169413,1.8322925567626953,S4,5,40,40
6398,12558,80,233,6240,3081,0.3448501001112163,7.697145462036133,S5,1,80,80
6398,12558,80,233,6240,3081,0.40941209997981787,7.679079055786133,S5,2,80,80
6398,12558,80,233,6240,3081,0.35588839976117015,7.712839126586914,S5,3,80,80
6398,12558,80,233,6240,3081,0.3315743999555707,7.680521011352539,S5,4,80,80
6398,12558,80,233,6240,3081,0.33404750004410744,7.689851760864258,S5,5,80,80
