source,target,relation
asset:192.168.100.4,service:192.168.100.4:22:tcp,hosts_service
asset:192.168.100.4,service:192.168.100.4:80:tcp,hosts_service
asset:192.168.100.4,service:192.168.100.5:3306:tcp,can_reach
asset:192.168.100.4,service:192.168.100.7:80:tcp,can_reach
asset:192.168.100.4,service:192.168.100.8:80:tcp,can_reach
asset:192.168.100.5,service:192.168.100.5:22:tcp,hosts_service
asset:192.168.100.5,service:192.168.100.5:3306:tcp,hosts_service
asset:192.168.100.6,service:192.168.100.4:80:tcp,can_reach
asset:192.168.100.6,service:192.168.100.5:3306:tcp,can_reach
asset:192.168.100.6,service:192.168.100.7:80:tcp,can_reach
asset:192.168.100.6,service:192.168.100.8:80:tcp,can_reach
asset:192.168.100.7,service:192.168.100.7:21:tcp,hosts_service
asset:192.168.100.7,service:192.168.100.7:22:tcp,hosts_service
asset:192.168.100.7,service:192.168.100.7:23:tcp,hosts_service
asset:192.168.100.7,service:192.168.100.7:25:tcp,hosts_service
asset:192.168.100.7,service:192.168.100.7:53:tcp,hosts_service
asset:192.168.100.7,service:192.168.100.7:80:tcp,hosts_service
asset:192.168.100.7,service:192.168.100.7:111:tcp,hosts_service
asset:192.168.100.7,service:192.168.100.7:139:tcp,hosts_service
asset:192.168.100.7,service:192.168.100.7:445:tcp,hosts_service
asset:192.168.100.7,service:192.168.100.7:512:tcp,hosts_service
asset:192.168.100.7,service:192.168.100.7:513:tcp,hosts_service
asset:192.168.100.7,service:192.168.100.7:514:tcp,hosts_service
asset:192.168.100.7,service:192.168.100.7:1099:tcp,hosts_service
asset:192.168.100.7,service:192.168.100.7:1524:tcp,hosts_service
asset:192.168.100.7,service:192.168.100.7:2049:tcp,hosts_service
asset:192.168.100.7,service:192.168.100.7:2121:tcp,hosts_service
asset:192.168.100.7,service:192.168.100.7:3306:tcp,hosts_service
asset:192.168.100.7,service:192.168.100.7:3632:tcp,hosts_service
asset:192.168.100.7,service:192.168.100.7:5432:tcp,hosts_service
