node,type,ip,name,role,criticality,target,port,protocol,service,product,cve,nvt,cvss,epss,kev
asset:192.168.100.4,asset,192.168.100.4,Application Server,application_server,High,False,,,,,,,,,
asset:192.168.100.5,asset,192.168.100.5,Database Server,database_server,Critical,True,,,,,,,,,
asset:192.168.100.6,asset,192.168.100.6,Kali Attacker,attacker,,False,,,,,,,,,
asset:192.168.100.7,asset,192.168.100.7,Metasploitable,vulnerable_server,Medium,False,,,,,,,,,
asset:192.168.100.8,asset,192.168.100.8,OWASP BWA,web_application,High,False,,,,,,,,,
service:192.168.100.4:22:tcp,service,192.168.100.4,,,,,22.0,tcp,ssh,OpenSSH,,,,,
service:192.168.100.4:80:tcp,service,192.168.100.4,,,,,80.0,tcp,http,Apache httpd,,,,,
service:192.168.100.5:22:tcp,service,192.168.100.5,,,,,22.0,tcp,ssh,OpenSSH,,,,,
service:192.168.100.5:3306:tcp,service,192.168.100.5,,,,,3306.0,tcp,mysql,MySQL,,,,,
service:192.168.100.7:21:tcp,service,192.168.100.7,,,,,21.0,tcp,ftp,vsftpd,,,,,
service:192.168.100.7:22:tcp,service,192.168.100.7,,,,,22.0,tcp,ssh,OpenSSH,,,,,
service:192.168.100.7:23:tcp,service,192.168.100.7,,,,,23.0,tcp,telnet,Linux telnetd,,,,,
service:192.168.100.7:25:tcp,service,192.168.100.7,,,,,25.0,tcp,smtp,Postfix smtpd,,,,,
service:192.168.100.7:53:tcp,service,192.168.100.7,,,,,53.0,tcp,domain,ISC BIND,,,,,
service:192.168.100.7:80:tcp,service,192.168.100.7,,,,,80.0,tcp,http,Apache httpd,,,,,
service:192.168.100.7:111:tcp,service,192.168.100.7,,,,,111.0,tcp,rpcbind,,,,,,
service:192.168.100.7:139:tcp,service,192.168.100.7,,,,,139.0,tcp,netbios-ssn,Samba smbd,,,,,
service:192.168.100.7:445:tcp,service,192.168.100.7,,,,,445.0,tcp,netbios-ssn,Samba smbd,,,,,
service:192.168.100.7:512:tcp,service,192.168.100.7,,,,,512.0,tcp,exec,netkit-rsh rexecd,,,,,
service:192.168.100.7:513:tcp,service,192.168.100.7,,,,,513.0,tcp,login,,,,,,
service:192.168.100.7:514:tcp,service,192.168.100.7,,,,,514.0,tcp,tcpwrapped,,,,,,
service:192.168.100.7:1099:tcp,service,192.168.100.7,,,,,1099.0,tcp,java-rmi,GNU Classpath grmiregistry,,,,,
service:192.168.100.7:1524:tcp,service,192.168.100.7,,,,,1524.0,tcp,bindshell,Metasploitable root shell,,,,,
service:192.168.100.7:2049:tcp,service,192.168.100.7,,,,,2049.0,tcp,nfs,,,,,,
