ip,port,protocol,service,product,version
192.168.100.4,22,tcp,ssh,OpenSSH,9.9p1 Ubuntu 3ubuntu3.2
192.168.100.4,80,tcp,http,Apache httpd,2.4.63
192.168.100.5,22,tcp,ssh,OpenSSH,9.9p1 Ubuntu 3ubuntu3.1
192.168.100.5,3306,tcp,mysql,MySQL,8.4.7-0ubuntu0.25.04.2
192.168.100.7,21,tcp,ftp,vsftpd,2.3.4
192.168.100.7,22,tcp,ssh,OpenSSH,4.7p1 Debian 8ubuntu1
192.168.100.7,23,tcp,telnet,Linux telnetd,
192.168.100.7,25,tcp,smtp,Postfix smtpd,
192.168.100.7,53,tcp,domain,ISC BIND,9.4.2
192.168.100.7,80,tcp,http,Apache httpd,2.2.8
192.168.100.7,111,tcp,rpcbind,,2
192.168.100.7,139,tcp,netbios-ssn,Samba smbd,3.X - 4.X
192.168.100.7,445,tcp,netbios-ssn,Samba smbd,3.X - 4.X
192.168.100.7,512,tcp,exec,netkit-rsh rexecd,
192.168.100.7,513,tcp,login,,
192.168.100.7,514,tcp,tcpwrapped,,
192.168.100.7,1099,tcp,java-rmi,GNU Classpath grmiregistry,
192.168.100.7,1524,tcp,bindshell,Metasploitable root shell,
192.168.100.7,2049,tcp,nfs,,2-4
192.168.100.7,2121,tcp,ftp,ProFTPD,1.3.1
192.168.100.7,3306,tcp,mysql,MySQL,5.0.51a-3ubuntu5
192.168.100.7,3632,tcp,distccd,distccd,v1
192.168.100.7,5432,tcp,postgresql,PostgreSQL DB,8.3.0 - 8.3.7
192.168.100.7,5900,tcp,vnc,VNC,
192.168.100.7,6000,tcp,X11,,
192.168.100.7,6667,tcp,irc,UnrealIRCd,
192.168.100.7,6697,tcp,irc,UnrealIRCd,
192.168.100.7,8180,tcp,,,
192.168.100.7,8787,tcp,drb,Ruby DRb RMI,
192.168.100.7,38264,tcp,nlockmgr,,1-4
192.168.100.7,46357,tcp,mountd,,1-3
192.168.100.7,48161,tcp,java-rmi,GNU Classpath grmiregistry,
192.168.100.7,59135,tcp,status,,1
192.168.100.8,22,tcp,ssh,OpenSSH,5.3p1 Debian 3ubuntu4
192.168.100.8,80,tcp,http,Apache httpd,2.2.14
192.168.100.8,139,tcp,netbios-ssn,Samba smbd,3.X - 4.X
192.168.100.8,143,tcp,imap,Courier Imapd,
192.168.100.8,443,tcp,http,Apache httpd,2.2.14
192.168.100.8,445,tcp,netbios-ssn,Samba smbd,3.X - 4.X
192.168.100.8,5001,tcp,java-object,Java Object Serialization,
192.168.100.8,8080,tcp,http,Apache Tomcat/Coyote JSP engine,1.1
192.168.100.8,8081,tcp,http,Jetty,6.1.25
