result_id,ip,port,protocol,service,product,version,cvss,severity,nvt_name,cves,match_type
e8198c36-b1d7-486a-a1bc-a53121981fae,192.168.100.4,,,,,,2.6,Low,TCP timestamps,NOCVE,host_level
539f5ee9-5ef2-446c-93c0-c6b6554b0511,192.168.100.5,,,,,,2.6,Low,TCP timestamps,NOCVE,host_level
a9f069f7-e163-4ebb-9b97-bd6e04781a48,192.168.100.7,512.0,tcp,exec,netkit-rsh rexecd,,10.0,High,rexec Passwordless / Unencrypted Cleartext Login,NOCVE,service_match
afcb6e06-308d-4973-831d-3124dd755b2a,192.168.100.7,,,,,,10.0,High,OS End Of Life Detection,NOCVE,host_level
fe99d4d8-ce46-4a06-8898-76579422aa29,192.168.100.7,8787.0,tcp,drb,Ruby DRb RMI,,10.0,High,Distributed Ruby (dRuby/DRb) Multiple Remote Code Execution Vulnerabilities,NOCVE,service_match
17ca4f8e-c0ce-40d6-a607-6b4e88d54b72,192.168.100.7,1524.0,tcp,bindshell,Metasploitable root shell,,10.0,High,Possible Backdoor: Ingreslock,NOCVE,service_match
9f0ba2c1-1b78-42d9-a137-3176a3e73699,192.168.100.7,3306.0,tcp,mysql,MySQL,5.0.51a-3ubuntu5,9.0,High,MySQL / MariaDB weak password,NOCVE,service_match
fb246ef0-e2c4-46e0-bbfc-bc79e2072ce1,192.168.100.7,5900.0,tcp,vnc,VNC,,9.0,High,VNC Brute Force Login,NOCVE,service_match
d8f33558-3e05-4f5b-b0fa-e18523974e26,192.168.100.7,5432.0,tcp,postgresql,PostgreSQL DB,8.3.0 - 8.3.7,9.0,High,PostgreSQL weak password,NOCVE,service_match
4e36d190-277c-45b8-8cfc-44f11c1cb599,192.168.100.7,514.0,tcp,tcpwrapped,,,7.5,High,rsh Unencrypted Cleartext Login,NOCVE,service_match
6d81c728-75b6-4c97-b1a9-94ea6347ccdf,192.168.100.7,80.0,tcp,http,Apache httpd,2.2.8,7.5,High,phpinfo() output Reporting,NOCVE,service_match
100eb630-3410-4fbd-8eef-eed3e38fe6b2,192.168.100.7,513.0,tcp,login,,,7.5,High,rlogin Passwordless / Unencrypted Cleartext Login,NOCVE,service_match
b546632b-8866-469d-bb96-720343a9eab5,192.168.100.7,80.0,tcp,http,Apache httpd,2.2.8,7.5,High,Test HTTP dangerous methods,NOCVE,service_match
12a054bb-c7ef-40b9-ba89-74f14700e297,192.168.100.7,6200.0,tcp,,,,7.5,High,vsftpd Compromised Source Packages Backdoor Vulnerability,NOCVE,unmatched_service
ce2b8e86-3ced-462b-b89e-d59375565eaf,192.168.100.7,21.0,tcp,ftp,vsftpd,2.3.4,7.5,High,vsftpd Compromised Source Packages Backdoor Vulnerability,NOCVE,service_match
48a6f23f-a677-46fc-9606-963282adbeea,192.168.100.7,22.0,tcp,ssh,OpenSSH,4.7p1 Debian 8ubuntu1,7.5,High,SSH Brute Force Logins With Default Credentials Reporting,NOCVE,service_match
6d6d6aa5-f574-4cb1-bd3e-66253bf76fd8,192.168.100.7,21.0,tcp,ftp,vsftpd,2.3.4,6.4,Medium,Anonymous FTP Login Reporting,NOCVE,service_match
265082aa-8856-41ed-86f0-e346938b252c,192.168.100.7,25.0,tcp,smtp,Postfix smtpd,,5.0,Medium,SSL/TLS: Certificate Expired,NOCVE,service_match
eb40c19b-701c-4832-91e1-1e224c690cd9,192.168.100.7,5432.0,tcp,postgresql,PostgreSQL DB,8.3.0 - 8.3.7,5.0,Medium,SSL/TLS: Certificate Expired,NOCVE,service_match
1986cf87-3518-4da3-b2f7-9bd475c78e05,192.168.100.7,25.0,tcp,smtp,Postfix smtpd,,5.0,Medium,Check if Mailserver answer to VRFY and EXPN requests,NOCVE,service_match
8aba0e81-b229-461c-8187-1ef340bfb8ec,192.168.100.7,80.0,tcp,http,Apache httpd,2.2.8,5.0,Medium,awiki Multiple Local File Include Vulnerabilities,NOCVE,service_match
e3386a5f-2dd1-4cdd-a9fb-56e9f89a49c3,192.168.100.7,5900.0,tcp,vnc,VNC,,4.8,Medium,VNC Server Unencrypted Data Transmission,NOCVE,service_match
