ip,port,protocol,service,product,version
192.168.100.4,22,tcp,ssh,OpenSSH,9.9p1 Ubuntu 3ubuntu3.2
192.168.100.4,80,tcp,http,Apache httpd,2.4.63
192.168.100.5,22,tcp,ssh,OpenSSH,9.9p1 Ubuntu 3ubuntu3.1
192.168.100.5,3306,tcp,mysql,MySQL,8.4.7-0ubuntu0.25.04.2
192.168.100.7,53,tcp,domain,ISC BIND,9.4.2
192.168.100.7,111,tcp,rpcbind,,2
192.168.100.7,139,tcp,netbios-ssn,Samba smbd,3.X - 4.X
192.168.100.7,445,tcp,netbios-ssn,Samba smbd,3.X - 4.X
192.168.100.7,1099,tcp,java-rmi,GNU Classpath grmiregistry,
192.168.100.7,2049,tcp,nfs,,2-4
192.168.100.7,6000,tcp,X11,,
192.168.100.7,6697,tcp,irc,UnrealIRCd,
192.168.100.7,8180,tcp,,,
192.168.100.7,38264,tcp,nlockmgr,,1-4
192.168.100.7,46357,tcp,mountd,,1-3
192.168.100.7,48161,tcp,java-rmi,GNU Classpath grmiregistry,
192.168.100.7,59135,tcp,status,,1
192.168.100.8,139,tcp,netbios-ssn,Samba smbd,3.X - 4.X
192.168.100.8,143,tcp,imap,Courier Imapd,
192.168.100.8,445,tcp,netbios-ssn,Samba smbd,3.X - 4.X
192.168.100.8,5001,tcp,java-object,Java Object Serialization,
