path_id,vulnerability_signature,baseline_rank,entry_service_name,entry_service_port,entry_protocol,entry_asset_type,entry_zone,entry_asset_criticality,target_asset_type,target_zone,target_criticality_score,vulnerability_count,cve_count,nvt_only_count,cve_coverage,maximum_cvss,mean_cvss,minimum_cvss,maximum_epss,mean_epss,kev_count,kev_present,hop_count,exploit_stage_count,access_condition_count,scenario_assumption_count,observed_condition_count,average_access_confidence,baseline_risk_score,baseline_risk_level
PATH-0030,CVE-2012-1823,1,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,9.8,9.8,9.8,0.99998,0.99998,1,1,7,1,2,1,1,0.75,87.4876,Critical
PATH-0069,CVE-2011-3192,2,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,7.8,7.8,7.8,0.98945,0.98945,0,0,7,1,2,1,1,0.75,71.175,High
PATH-0131,CVE-2011-3192,3,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,7.8,7.8,7.8,0.98945,0.98945,0,0,7,1,2,1,1,0.75,71.175,High
PATH-0085,CVE-2016-2183,4,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.95707,0.95707,0,0,7,1,2,1,1,0.75,69.2411,High
PATH-0075,CVE-2014-0224,5,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,7.4,7.4,7.4,0.95326,0.95326,0,0,7,1,2,1,1,0.75,68.783,High
PATH-0032,CVE-2012-2311,6,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.69559,0.69559,0,0,7,1,2,1,1,0.75,62.2547,High
PATH-0074,CVE-2013-2566,7,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,5.9,5.9,5.9,0.84424,0.84424,0,0,7,1,2,1,1,0.75,60.5264,High
PATH-0082,CVE-2016-0800,8,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,5.9,5.9,5.9,0.82112,0.82112,0,0,7,1,2,1,1,0.75,59.9087,High
PATH-0076,CVE-2014-3566,9,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,4.3,4.3,4.3,0.99999,0.99999,0,0,7,1,2,1,1,0.75,58.9878,High
PATH-0081,CVE-2015-4000,10,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,4.3,4.3,4.3,0.9986,0.9986,0,0,7,1,2,1,1,0.75,58.9507,High
PATH-0034,CVE-2012-2336,11,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.50723,0.50723,0,0,7,1,2,1,1,0.75,57.2219,High
PATH-0029,CVE-2012-0053,12,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,4.3,4.3,4.3,0.82756,0.82756,0,0,7,1,2,1,1,0.75,54.3807,Medium
PATH-0070,CVE-2012-0053,13,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,4.3,4.3,4.3,0.82756,0.82756,0,0,7,1,2,1,1,0.75,54.3807,Medium
PATH-0132,CVE-2012-0053,14,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,4.3,4.3,4.3,0.82756,0.82756,0,0,7,1,2,1,1,0.75,54.3807,Medium
PATH-0016,CVE-2008-5305,15,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,10.0,10.0,10.0,0.0464,0.0464,0,0,7,1,2,1,1,0.75,53.8154,Medium
PATH-0088,CVE-2017-14596,16,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,9.8,9.8,9.8,0.06878,0.06878,0,0,7,1,2,1,1,0.75,53.7008,Medium
PATH-0140,CVE-2017-14596,17,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,9.8,9.8,9.8,0.06878,0.06878,0,0,7,1,2,1,1,0.75,53.7008,Medium
PATH-0015,CVE-2008-5304,18,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,10.0,10.0,10.0,0.02243,0.02243,0,0,7,1,2,1,1,0.75,53.1749,Medium
PATH-0093,CVE-2018-15882,19,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,9.8,9.8,9.8,0.02932,0.02932,0,0,7,1,2,1,1,0.75,52.6465,Medium
PATH-0145,CVE-2018-15882,20,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,9.8,9.8,9.8,0.02932,0.02932,0,0,7,1,2,1,1,0.75,52.6465,Medium
PATH-0033,CVE-2012-2335,21,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.32542,0.32542,0,0,7,1,2,1,1,0.75,52.3642,Medium
PATH-0080,CVE-2015-2808,22,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,4.3,4.3,4.3,0.73851,0.73851,0,0,7,1,2,1,1,0.75,52.0014,Medium
PATH-0009,CVE-2003-1567,23,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.2446,0.2446,0,0,7,1,2,1,1,0.75,50.2048,Medium
PATH-0050,CVE-2003-1567,24,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.2446,0.2446,0,0,7,1,2,1,1,0.75,50.2048,Medium
PATH-0108,CVE-2003-1567,25,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.2446,0.2446,0,0,7,1,2,1,1,0.75,50.2048,Medium
PATH-0094,CVE-2018-17855,26,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,8.8,8.8,8.8,0.019,0.019,0,0,7,1,2,1,1,0.75,48.8083,Medium
PATH-0146,CVE-2018-17855,27,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,8.8,8.8,8.8,0.019,0.019,0,0,7,1,2,1,1,0.75,48.8083,Medium
PATH-0038,CVE-2018-20719,28,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,8.8,8.8,8.8,0.00995,0.00995,0,0,7,1,2,1,1,0.75,48.5665,Medium
PATH-0095,CVE-2018-20719,29,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,8.8,8.8,8.8,0.00995,0.00995,0,0,7,1,2,1,1,0.75,48.5665,Medium
PATH-0147,CVE-2018-20719,30,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,8.8,8.8,8.8,0.00995,0.00995,0,0,7,1,2,1,1,0.75,48.5665,Medium
PATH-0035,CVE-2014-7883,31,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.37022,0.37022,0,0,7,1,2,1,1,0.75,47.5049,Medium
PATH-0077,CVE-2014-7883,32,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.37022,0.37022,0,0,7,1,2,1,1,0.75,47.5049,Medium
PATH-0134,CVE-2014-7883,33,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.37022,0.37022,0,0,7,1,2,1,1,0.75,47.5049,Medium
PATH-0023,CVE-2010-0386,34,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,8.1,8.1,8.1,0.01692,0.01692,0,0,7,1,2,1,1,0.75,46.2589,Medium
PATH-0062,CVE-2010-0386,35,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,8.1,8.1,8.1,0.01692,0.01692,0,0,7,1,2,1,1,0.75,46.2589,Medium
PATH-0121,CVE-2010-0386,36,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,8.1,8.1,8.1,0.01692,0.01692,0,0,7,1,2,1,1,0.75,46.2589,Medium
PATH-0078,CVE-2014-8363,37,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.02149,0.02149,0,0,7,1,2,1,1,0.75,44.2435,Medium
PATH-0135,CVE-2014-8363,38,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.02149,0.02149,0,0,7,1,2,1,1,0.75,44.2435,Medium
PATH-0036,CVE-2016-10143,39,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.01849,0.01849,0,0,7,1,2,1,1,0.75,44.1634,Medium
PATH-0083,CVE-2016-10143,40,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.01849,0.01849,0,0,7,1,2,1,1,0.75,44.1634,Medium
PATH-0137,CVE-2016-10143,41,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.01849,0.01849,0,0,7,1,2,1,1,0.75,44.1634,Medium
PATH-0027,CVE-2010-1136,42,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.0167,0.0167,0,0,7,1,2,1,1,0.75,44.1156,Medium
PATH-0066,CVE-2010-1136,43,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.0167,0.0167,0,0,7,1,2,1,1,0.75,44.1156,Medium
PATH-0128,CVE-2010-1136,44,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.0167,0.0167,0,0,7,1,2,1,1,0.75,44.1156,Medium
PATH-0079,CVE-2014-8364,45,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.01633,0.01633,0,0,7,1,2,1,1,0.75,44.1057,Medium
PATH-0136,CVE-2014-8364,46,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.01633,0.01633,0,0,7,1,2,1,1,0.75,44.1057,Medium
PATH-0026,CVE-2010-1135,47,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.01553,0.01553,0,0,7,1,2,1,1,0.75,44.0843,Medium
PATH-0065,CVE-2010-1135,48,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.01553,0.01553,0,0,7,1,2,1,1,0.75,44.0843,Medium
PATH-0127,CVE-2010-1135,49,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.01553,0.01553,0,0,7,1,2,1,1,0.75,44.0843,Medium
PATH-0024,CVE-2010-1133,50,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.01418,0.01418,0,0,7,1,2,1,1,0.75,44.0482,Medium
PATH-0063,CVE-2010-1133,51,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.01418,0.01418,0,0,7,1,2,1,1,0.75,44.0482,Medium
PATH-0125,CVE-2010-1133,52,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,7.5,7.5,7.5,0.01418,0.01418,0,0,7,1,2,1,1,0.75,44.0482,Medium
