rank,path_id,risk_score,risk_level,hop_count,exploit_stage_count,access_condition_count,final_target,maximum_cvss,maximum_epss,kev_present,cvss_component,epss_component,kev_component,asset_criticality_component,path_efficiency_component,average_access_confidence,evidence_multiplier,assumption_multiplier,scenario_assumption_count,cve_coverage,vulnerabilities,access_conditions,compromised_assets,path_labels,node_ids
1,PATH-0030,87.4876,Critical,7,1,2,DatabaseServer,9.8,0.99998,True,0.98,0.99998,1.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2012-1823,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",Metasploitable;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.7:80/tcp http -> CVE-2012-1823 -> Metasploitable -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.7|tcp|80;VULNERABILITY|192.168.100.7|tcp|80|CVE-2012-1823;ASSET|A3;ACCESS_CONDITION|AC1;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
2,PATH-0069,71.175,High,7,1,2,DatabaseServer,7.8,0.98945,False,0.78,0.98945,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2011-3192,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2011-3192 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2011-3192;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
3,PATH-0131,71.175,High,7,1,2,DatabaseServer,7.8,0.98945,False,0.78,0.98945,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2011-3192,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:80/tcp http -> CVE-2011-3192 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|80;VULNERABILITY|192.168.100.8|tcp|80|CVE-2011-3192;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
4,PATH-0085,69.2411,High,7,1,2,DatabaseServer,7.5,0.95707,False,0.75,0.95707,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2016-2183,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2016-2183 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2016-2183;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
5,PATH-0075,68.783,High,7,1,2,DatabaseServer,7.4,0.95326,False,0.74,0.95326,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2014-0224,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2014-0224 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2014-0224;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
6,PATH-0032,62.2547,High,7,1,2,DatabaseServer,7.5,0.69559,False,0.75,0.69559,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2012-2311,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",Metasploitable;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.7:80/tcp http -> CVE-2012-2311 -> Metasploitable -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.7|tcp|80;VULNERABILITY|192.168.100.7|tcp|80|CVE-2012-2311;ASSET|A3;ACCESS_CONDITION|AC1;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
7,PATH-0074,60.5264,High,7,1,2,DatabaseServer,5.9,0.84424,False,0.59,0.84424,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2013-2566,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2013-2566 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2013-2566;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
8,PATH-0082,59.9087,High,7,1,2,DatabaseServer,5.9,0.82112,False,0.59,0.82112,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2016-0800,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2016-0800 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2016-0800;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
9,PATH-0076,58.9878,High,7,1,2,DatabaseServer,4.3,0.99999,False,0.43,0.99999,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2014-3566,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2014-3566 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2014-3566;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
10,PATH-0081,58.9507,High,7,1,2,DatabaseServer,4.3,0.9986,False,0.43,0.9986,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2015-4000,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2015-4000 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2015-4000;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
11,PATH-0034,57.2219,High,7,1,2,DatabaseServer,7.5,0.50723,False,0.75,0.50723,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2012-2336,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",Metasploitable;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.7:80/tcp http -> CVE-2012-2336 -> Metasploitable -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.7|tcp|80;VULNERABILITY|192.168.100.7|tcp|80|CVE-2012-2336;ASSET|A3;ACCESS_CONDITION|AC1;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
