ip_address,protocol,port,state,service_name,product,version,extra_info,tunnel,confidence,cpe,source_file
192.168.100.4,tcp,22,open,ssh,OpenSSH,9.9p1 Ubuntu 3ubuntu3.2,Ubuntu Linux; protocol 2.0,,10,cpe:/a:openbsd:openssh:9.9p1;cpe:/o:linux:linux_kernel,full_tcp_appserver.xml
192.168.100.4,tcp,80,open,http,Apache httpd,2.4.63,(Ubuntu),,10,cpe:/a:apache:http_server:2.4.63,full_tcp_appserver.xml
192.168.100.5,tcp,22,open,ssh,OpenSSH,9.9p1 Ubuntu 3ubuntu3.1,Ubuntu Linux; protocol 2.0,,10,cpe:/a:openbsd:openssh:9.9p1;cpe:/o:linux:linux_kernel,full_tcp_database.xml
192.168.100.5,tcp,3306,open,mysql,MySQL,8.4.7-0ubuntu0.25.04.2,,,10,cpe:/a:mysql:mysql:8.4.7-0ubuntu0.25.04.2,full_tcp_database.xml
192.168.100.7,tcp,21,open,ftp,vsftpd,2.3.4,,,10,cpe:/a:vsftpd:vsftpd:2.3.4,full_tcp_metasploitable.xml
192.168.100.7,tcp,22,open,ssh,OpenSSH,4.7p1 Debian 8ubuntu1,protocol 2.0,,10,cpe:/a:openbsd:openssh:4.7p1;cpe:/o:linux:linux_kernel,full_tcp_metasploitable.xml
192.168.100.7,tcp,23,open,telnet,Linux telnetd,,,,10,cpe:/o:linux:linux_kernel,full_tcp_metasploitable.xml
192.168.100.7,tcp,25,open,smtp,Postfix smtpd,,,,10,cpe:/a:postfix:postfix,full_tcp_metasploitable.xml
192.168.100.7,tcp,53,open,domain,ISC BIND,9.4.2,,,10,cpe:/a:isc:bind:9.4.2,full_tcp_metasploitable.xml
192.168.100.7,tcp,80,open,http,Apache httpd,2.2.8,(Ubuntu) DAV/2,,10,cpe:/a:apache:http_server:2.2.8,full_tcp_metasploitable.xml
192.168.100.7,tcp,111,open,rpcbind,,2,RPC #100000,,10,,full_tcp_metasploitable.xml
192.168.100.7,tcp,139,open,netbios-ssn,Samba smbd,3.X - 4.X,workgroup: WORKGROUP,,10,cpe:/a:samba:samba,full_tcp_metasploitable.xml
192.168.100.7,tcp,445,open,netbios-ssn,Samba smbd,3.X - 4.X,workgroup: WORKGROUP,,10,cpe:/a:samba:samba,full_tcp_metasploitable.xml
192.168.100.7,tcp,512,open,exec,netkit-rsh rexecd,,,,10,cpe:/a:netkit:netkit;cpe:/o:linux:linux_kernel,full_tcp_metasploitable.xml
192.168.100.7,tcp,513,open,login,,,,,10,,full_tcp_metasploitable.xml
192.168.100.7,tcp,514,open,tcpwrapped,,,,,8,,full_tcp_metasploitable.xml
192.168.100.7,tcp,1099,open,java-rmi,GNU Classpath grmiregistry,,,,10,,full_tcp_metasploitable.xml
192.168.100.7,tcp,1524,open,bindshell,Metasploitable root shell,,,,10,,full_tcp_metasploitable.xml
192.168.100.7,tcp,2049,open,nfs,,2-4,RPC #100003,,10,,full_tcp_metasploitable.xml
192.168.100.7,tcp,2121,open,ftp,ProFTPD,1.3.1,,,10,cpe:/a:proftpd:proftpd:1.3.1,full_tcp_metasploitable.xml
192.168.100.7,tcp,3306,open,mysql,MySQL,5.0.51a-3ubuntu5,,,10,cpe:/a:mysql:mysql:5.0.51a-3ubuntu5,full_tcp_metasploitable.xml
192.168.100.7,tcp,3632,open,distccd,distccd,v1,(GNU) 4.2.4 (Ubuntu 4.2.4-1ubuntu4),,10,,full_tcp_metasploitable.xml
192.168.100.7,tcp,5432,open,postgresql,PostgreSQL DB,8.3.0 - 8.3.7,,,10,cpe:/a:postgresql:postgresql:8.3,full_tcp_metasploitable.xml
192.168.100.7,tcp,5900,open,vnc,VNC,,protocol 3.3,,10,,full_tcp_metasploitable.xml
192.168.100.7,tcp,6000,open,X11,,,access denied,,10,,full_tcp_metasploitable.xml
192.168.100.7,tcp,6667,open,irc,UnrealIRCd,,,,10,cpe:/a:unrealircd:unrealircd,full_tcp_metasploitable.xml
192.168.100.7,tcp,6697,open,irc,UnrealIRCd,,,,10,cpe:/a:unrealircd:unrealircd,full_tcp_metasploitable.xml
192.168.100.7,tcp,8180,open,,,,,,,,full_tcp_metasploitable.xml
192.168.100.7,tcp,8787,open,drb,Ruby DRb RMI,,Ruby 1.8; path /usr/lib/ruby/1.8/drb,,10,cpe:/a:ruby-lang:ruby:1.8,full_tcp_metasploitable.xml
192.168.100.7,tcp,38264,open,nlockmgr,,1-4,RPC #100021,,10,,full_tcp_metasploitable.xml
192.168.100.7,tcp,46357,open,mountd,,1-3,RPC #100005,,10,,full_tcp_metasploitable.xml
192.168.100.7,tcp,48161,open,java-rmi,GNU Classpath grmiregistry,,,,10,,full_tcp_metasploitable.xml
192.168.100.7,tcp,59135,open,status,,1,RPC #100024,,10,,full_tcp_metasploitable.xml
192.168.100.8,tcp,22,open,ssh,OpenSSH,5.3p1 Debian 3ubuntu4,Ubuntu Linux; protocol 2.0,,10,cpe:/a:openbsd:openssh:5.3p1;cpe:/o:linux:linux_kernel,full_tcp_owaspbwa.xml
