cve_id,finding_count,host_count,hosts,ports,protocols,max_openvas_cvss,severities,nvt_names
CVE-1999-0678,1,1,192.168.100.7,80,tcp,5.0,Medium,/doc directory browsable
CVE-2003-1418,2,1,192.168.100.8,443;80,tcp,4.3,Medium,Apache Web Server ETag Header Information Disclosure Weakness
CVE-2003-1567,3,2,192.168.100.7;192.168.100.8,443;80,tcp,5.8,Medium,HTTP Debugging Methods (TRACE/TRACK) Enabled
CVE-2004-2320,3,2,192.168.100.7;192.168.100.8,443;80,tcp,5.8,Medium,HTTP Debugging Methods (TRACE/TRACK) Enabled
CVE-2004-2687,1,1,192.168.100.7,3632,tcp,9.3,High,DistCC Remote Code Execution Vulnerability
CVE-2004-2763,3,2,192.168.100.7;192.168.100.8,443;80,tcp,5.8,Medium,HTTP Debugging Methods (TRACE/TRACK) Enabled
CVE-2005-3398,3,2,192.168.100.7;192.168.100.8,443;80,tcp,5.8,Medium,HTTP Debugging Methods (TRACE/TRACK) Enabled
CVE-2006-2247,1,1,192.168.100.8,80,tcp,5.0,Medium,WebCalendar User Account Enumeration Disclosure Issue
CVE-2006-4683,3,2,192.168.100.7;192.168.100.8,443;80,tcp,5.8,Medium,HTTP Debugging Methods (TRACE/TRACK) Enabled
CVE-2007-3008,3,2,192.168.100.7;192.168.100.8,443;80,tcp,5.8,Medium,HTTP Debugging Methods (TRACE/TRACK) Enabled
CVE-2008-5304,1,1,192.168.100.7,80,tcp,10.0,High,TWiki XSS and Command Execution Vulnerabilities
CVE-2008-5305,1,1,192.168.100.7,80,tcp,10.0,High,TWiki XSS and Command Execution Vulnerabilities
CVE-2008-5318,3,2,192.168.100.7;192.168.100.8,443;80,tcp,5.0,Medium,Tiki Wiki CMS Groupware Input Sanitation Weakness Vulnerability
CVE-2008-5319,3,2,192.168.100.7;192.168.100.8,443;80,tcp,5.0,Medium,Tiki Wiki CMS Groupware Input Sanitation Weakness Vulnerability
CVE-2008-7253,3,2,192.168.100.7;192.168.100.8,443;80,tcp,5.8,Medium,HTTP Debugging Methods (TRACE/TRACK) Enabled
CVE-2009-0796,2,1,192.168.100.8,443;80,tcp,2.6,Low,Apache mod_perl Apache::Status and Apache2::Status Cross Site Scripting Vulnerability
CVE-2009-1204,2,1,192.168.100.8,443;80,tcp,4.3,Medium,Tiki Wiki CMS Groupware Multiple Cross Site Scripting Vulnerabilities
CVE-2009-1339,1,1,192.168.100.7,80,tcp,6.0,Medium,TWiki Cross-Site Request Forgery Vulnerability
CVE-2009-2823,3,2,192.168.100.7;192.168.100.8,443;80,tcp,5.8,Medium,HTTP Debugging Methods (TRACE/TRACK) Enabled
CVE-2009-4898,1,1,192.168.100.7,80,tcp,6.8,Medium,TWiki Cross-Site Request Forgery Vulnerability - Sep10
CVE-2010-0386,3,2,192.168.100.7;192.168.100.8,443;80,tcp,5.8,Medium,HTTP Debugging Methods (TRACE/TRACK) Enabled
CVE-2010-0636,1,1,192.168.100.8,80,tcp,6.8,Medium,WebCalendar Multiple CSS and CSRF Vulnerabilities
CVE-2010-0637,1,1,192.168.100.8,80,tcp,6.8,Medium,WebCalendar Multiple CSS and CSRF Vulnerabilities
CVE-2010-0638,1,1,192.168.100.8,80,tcp,6.8,Medium,WebCalendar Multiple CSS and CSRF Vulnerabilities
CVE-2010-1133,3,2,192.168.100.7;192.168.100.8,443;80,tcp,7.5,High,Tiki Wiki CMS Groupware < 4.2 Multiple Unspecified Vulnerabilities
CVE-2010-1134,3,2,192.168.100.7;192.168.100.8,443;80,tcp,7.5,High,Tiki Wiki CMS Groupware < 4.2 Multiple Unspecified Vulnerabilities
CVE-2010-1135,3,2,192.168.100.7;192.168.100.8,443;80,tcp,7.5,High,Tiki Wiki CMS Groupware < 4.2 Multiple Unspecified Vulnerabilities
CVE-2010-1136,3,2,192.168.100.7;192.168.100.8,443;80,tcp,7.5,High,Tiki Wiki CMS Groupware < 4.2 Multiple Unspecified Vulnerabilities
CVE-2010-3712,2,1,192.168.100.8,443;80,tcp,4.3,Medium,Joomla! Multiple Cross-site Scripting Vulnerabilities
CVE-2010-4480,3,2,192.168.100.7;192.168.100.8,443;80,tcp,4.3,Medium,phpMyAdmin error.php Cross Site Scripting Vulnerability
CVE-2011-0411,1,1,192.168.100.7,25,tcp,6.8,Medium,Multiple Vendors STARTTLS Implementation Plaintext Arbitrary Command Injection Vulnerability
CVE-2011-1430,1,1,192.168.100.7,25,tcp,6.8,Medium,Multiple Vendors STARTTLS Implementation Plaintext Arbitrary Command Injection Vulnerability
CVE-2011-1431,1,1,192.168.100.7,25,tcp,6.8,Medium,Multiple Vendors STARTTLS Implementation Plaintext Arbitrary Command Injection Vulnerability
CVE-2011-1432,1,1,192.168.100.7,25,tcp,6.8,Medium,Multiple Vendors STARTTLS Implementation Plaintext Arbitrary Command Injection Vulnerability
CVE-2011-1506,1,1,192.168.100.7,25,tcp,6.8,Medium,Multiple Vendors STARTTLS Implementation Plaintext Arbitrary Command Injection Vulnerability
CVE-2011-1575,1,1,192.168.100.7,25,tcp,6.8,Medium,Multiple Vendors STARTTLS Implementation Plaintext Arbitrary Command Injection Vulnerability
CVE-2011-1926,1,1,192.168.100.7,25,tcp,6.8,Medium,Multiple Vendors STARTTLS Implementation Plaintext Arbitrary Command Injection Vulnerability
CVE-2011-2165,1,1,192.168.100.7,25,tcp,6.8,Medium,Multiple Vendors STARTTLS Implementation Plaintext Arbitrary Command Injection Vulnerability
CVE-2011-3192,2,1,192.168.100.8,443;80,tcp,7.8,High,Apache httpd Web Server Range Header Denial of Service Vulnerability
CVE-2012-0053,3,2,192.168.100.7;192.168.100.8,443;80,tcp,4.3,Medium,Apache HTTP Server httpOnly Cookie Information Disclosure Vulnerability
CVE-2012-1823,1,1,192.168.100.7,80,tcp,7.5,High,PHP-CGI-based setups vulnerability when parsing query string parameters from php files.
