IP,Hostname,Port,Port Protocol,CVSS,Severity,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
192.168.100.8,,,,10.0,High,"Mitigation","OS End Of Life Detection","OS End Of Life Detection

  The Operating System on the remote host has reached the end of life and should
  not be used anymore.","The ""Ubuntu"" Operating System on the remote host has reached the end of life.

CPE:               cpe:/o:canonical:ubuntu_linux:10.04
Installed version,
build or SP:       10.04
EOL date:          2015-04-30
EOL info:          https://wiki.ubuntu.com/Releases",1.3.6.1.4.1.25623.1.0.103674,"NOCVE",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,78c2ae45-ca94-46a1-9f79-be2fa2b050bb,"","","","","
Details:
OS End Of Life Detection
(OID: 1.3.6.1.4.1.25623.1.0.103674)
Version used: $Revision: 8927 $
","Product: cpe:/o:canonical:ubuntu_linux:10.04
Method: OS Detection Consolidation and Reporting
(OID: 1.3.6.1.4.1.25623.1.0.105937)
","","",""
192.168.100.8,,443,tcp,7.8,High,"Mitigation","Apache httpd Web Server Range Header Denial of Service Vulnerability","This host is running Apache httpd web server and is prone to denial
  of service vulnerability.","Vulnerability was detected according to the Vulnerability Detection Method.",1.3.6.1.4.1.25623.1.0.901203,"CVE-2011-3192",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,b2dc73ab-e3a0-4de1-b909-c4c1153e8706,"Successful exploitation will let the remote unauthenticated attackers to
  cause a denial of service.","Please see the references for a fix to mitigate this issue.","Apache 1.3.x, 2.0.x through 2.0.64 and 2.2.x through 2.2.19.","The flaw is caused the way Apache httpd web server handles certain requests
  with multiple overlapping ranges, which causes significant memory and CPU
  usage on the server leading to application crash and system can become unstable.","
Details:
Apache httpd Web Server Range Header Denial of Service Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.901203)
Version used: $Revision: 13659 $
","","49303","DFN-CERT-2012-1112, DFN-CERT-2012-0856, DFN-CERT-2012-0746, DFN-CERT-2012-0731, DFN-CERT-2011-1726, DFN-CERT-2011-1725, DFN-CERT-2011-1693, DFN-CERT-2011-1692, DFN-CERT-2011-1632, DFN-CERT-2011-1631, DFN-CERT-2011-1593, DFN-CERT-2011-1519, DFN-CERT-2011-1492, DFN-CERT-2011-1440, DFN-CERT-2011-1435, DFN-CERT-2011-1430, DFN-CERT-2011-1429, DFN-CERT-2011-1425, DFN-CERT-2011-1379, DFN-CERT-2011-1362, DFN-CERT-2011-1343, DFN-CERT-2011-1342, DFN-CERT-2011-1341, DFN-CERT-2011-1335, DFN-CERT-2011-1333, DFN-CERT-2011-1318, DFN-CERT-2011-1312, DFN-CERT-2011-1298","http://www.exploit-db.com/exploits/17696, http://packetstormsecurity.org/files/view/104441, http://marc.info/?l=apache-httpd-dev&m=131420013520206&w=2, http://mail-archives.apache.org/mod_mbox/httpd-dev/201108.mbox/%3CCAAPSnn2PO-d-C4nQt_TES2RRWiZr7urefhTKPWBC1b+K1Dqc7g@mail.gmail.com%3E"
192.168.100.8,,80,tcp,7.8,High,"Mitigation","Apache httpd Web Server Range Header Denial of Service Vulnerability","This host is running Apache httpd web server and is prone to denial
  of service vulnerability.","Vulnerability was detected according to the Vulnerability Detection Method.",1.3.6.1.4.1.25623.1.0.901203,"CVE-2011-3192",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,71cfb14c-6d09-4de7-b8da-46ba2ba79d8d,"Successful exploitation will let the remote unauthenticated attackers to
  cause a denial of service.","Please see the references for a fix to mitigate this issue.","Apache 1.3.x, 2.0.x through 2.0.64 and 2.2.x through 2.2.19.","The flaw is caused the way Apache httpd web server handles certain requests
  with multiple overlapping ranges, which causes significant memory and CPU
  usage on the server leading to application crash and system can become unstable.","
Details:
Apache httpd Web Server Range Header Denial of Service Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.901203)
Version used: $Revision: 13659 $
","","49303","DFN-CERT-2012-1112, DFN-CERT-2012-0856, DFN-CERT-2012-0746, DFN-CERT-2012-0731, DFN-CERT-2011-1726, DFN-CERT-2011-1725, DFN-CERT-2011-1693, DFN-CERT-2011-1692, DFN-CERT-2011-1632, DFN-CERT-2011-1631, DFN-CERT-2011-1593, DFN-CERT-2011-1519, DFN-CERT-2011-1492, DFN-CERT-2011-1440, DFN-CERT-2011-1435, DFN-CERT-2011-1430, DFN-CERT-2011-1429, DFN-CERT-2011-1425, DFN-CERT-2011-1379, DFN-CERT-2011-1362, DFN-CERT-2011-1343, DFN-CERT-2011-1342, DFN-CERT-2011-1341, DFN-CERT-2011-1335, DFN-CERT-2011-1333, DFN-CERT-2011-1318, DFN-CERT-2011-1312, DFN-CERT-2011-1298","http://www.exploit-db.com/exploits/17696, http://packetstormsecurity.org/files/view/104441, http://marc.info/?l=apache-httpd-dev&m=131420013520206&w=2, http://mail-archives.apache.org/mod_mbox/httpd-dev/201108.mbox/%3CCAAPSnn2PO-d-C4nQt_TES2RRWiZr7urefhTKPWBC1b+K1Dqc7g@mail.gmail.com%3E"
192.168.100.8,,443,tcp,7.5,High,"VendorFix","Joomla! Prior to 1.6.1 Multiple Security Vulnerabilities","Joomla! is prone to multiple security vulnerabilities including:

  - An SQL-injection issue

  - A path-disclosure vulnerability

  - Multiple cross-site scripting issues

  - Multiple information-disclosure vulnerabilities

  - A URI-redirection vulnerability

  - A security-bypass vulnerability

  - A cross-site request-forgery vulnerability

  - A denial-of-service vulnerability","Installed version: 1.5.15
Fixed version:     1.6.1",1.3.6.1.4.1.25623.1.0.103114,"NOCVE",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,7b588036-d6dd-44e4-9102-73c0bc5d9742,"An attacker can exploit these vulnerabilities to execute arbitrary script code
in the browser of an unsuspecting user in the context of the affected site, steal cookie-based authentication
credentials, disclose or modify sensitive information, exploit latent vulnerabilities in the underlying database,
deny service to legitimate users, redirect a victim to a potentially malicious site, or perform unauthorized
actions. Other attacks are also possible.","The vendor released a patch. Please see the references for more
information.","Versions prior to Joomla! 1.6.1 are vulnerable.","","
Details:
Joomla! Prior to 1.6.1 Multiple Security Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.103114)
Version used: $Revision: 11997 $
","Product: cpe:/a:joomla:joomla:1.5.15
Method: joomla Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.100330)
","46787","","https://www.securityfocus.com/bid/46787, http://www.joomla.org/announcements/release-news/5350-joomla-161-released.html, http://www.joomla.org/"
192.168.100.8,,80,tcp,7.5,High,"VendorFix","Joomla! Prior to 1.6.1 Multiple Security Vulnerabilities","Joomla! is prone to multiple security vulnerabilities including:

  - An SQL-injection issue

  - A path-disclosure vulnerability

  - Multiple cross-site scripting issues

  - Multiple information-disclosure vulnerabilities

  - A URI-redirection vulnerability

  - A security-bypass vulnerability

  - A cross-site request-forgery vulnerability

  - A denial-of-service vulnerability","Installed version: 1.5.15
Fixed version:     1.6.1",1.3.6.1.4.1.25623.1.0.103114,"NOCVE",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,c260e351-dae8-4456-b4e4-c7bc3e7ac66e,"An attacker can exploit these vulnerabilities to execute arbitrary script code
in the browser of an unsuspecting user in the context of the affected site, steal cookie-based authentication
credentials, disclose or modify sensitive information, exploit latent vulnerabilities in the underlying database,
deny service to legitimate users, redirect a victim to a potentially malicious site, or perform unauthorized
actions. Other attacks are also possible.","The vendor released a patch. Please see the references for more
information.","Versions prior to Joomla! 1.6.1 are vulnerable.","","
Details:
Joomla! Prior to 1.6.1 Multiple Security Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.103114)
Version used: $Revision: 11997 $
","Product: cpe:/a:joomla:joomla:1.5.15
Method: joomla Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.100330)
","46787","","https://www.securityfocus.com/bid/46787, http://www.joomla.org/announcements/release-news/5350-joomla-161-released.html, http://www.joomla.org/"
192.168.100.8,,443,tcp,7.5,High,"Workaround","phpinfo() output Reporting","Many PHP installation tutorials instruct the user to create
  a file called phpinfo.php or similar containing the phpinfo() statement. Such a file is often
  left back in the webserver directory.","The following files are calling the function phpinfo() which disclose potentially sensitive information:

https://192.168.100.8/bWAPP/phpinfo.php
https://192.168.100.8/mutillidae/phpinfo.php
https://192.168.100.8/vicnum/test.php
https://192.168.100.8/vicnum/test.php?mode=phpinfo",1.3.6.1.4.1.25623.1.0.11229,"NOCVE",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,e895d757-cb4a-484a-92f1-91c6c7b0f215,"Some of the information that can be gathered from this file includes:

  The username of the user running the PHP process, if it is a sudo user, the IP address of the host, the web server
  version, the system version (Unix, Linux, Windows, ...), and the root directory of the web server.","Delete the listed files or restrict access to them.","","","
Details:
phpinfo() output Reporting
(OID: 1.3.6.1.4.1.25623.1.0.11229)
Version used: $Revision: 11992 $
","","","",""
192.168.100.8,,80,tcp,7.5,High,"Workaround","phpinfo() output Reporting","Many PHP installation tutorials instruct the user to create
  a file called phpinfo.php or similar containing the phpinfo() statement. Such a file is often
  left back in the webserver directory.","The following files are calling the function phpinfo() which disclose potentially sensitive information:

http://192.168.100.8/bWAPP/phpinfo.php
http://192.168.100.8/mutillidae/phpinfo.php
http://192.168.100.8/vicnum/test.php
http://192.168.100.8/vicnum/test.php?mode=phpinfo",1.3.6.1.4.1.25623.1.0.11229,"NOCVE",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,52f4dff6-b3b6-43b4-a376-a6a299d3797d,"Some of the information that can be gathered from this file includes:

  The username of the user running the PHP process, if it is a sudo user, the IP address of the host, the web server
  version, the system version (Unix, Linux, Windows, ...), and the root directory of the web server.","Delete the listed files or restrict access to them.","","","
Details:
phpinfo() output Reporting
(OID: 1.3.6.1.4.1.25623.1.0.11229)
Version used: $Revision: 11992 $
","","","",""
192.168.100.8,,443,tcp,7.5,High,"VendorFix","Tiki Wiki CMS Groupware < 4.2 Multiple Unspecified Vulnerabilities","Tiki Wiki CMS Groupware is prone to multiple unspecified vulnerabilities, including:

  - An unspecified SQL-injection vulnerability

  - An unspecified authentication-bypass vulnerability

  - An unspecified vulnerability","Installed version: 1.9.5
Fixed version:     4.2",1.3.6.1.4.1.25623.1.0.100537,"CVE-2010-1135, CVE-2010-1134, CVE-2010-1133, CVE-2010-1136",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,ec8ff4fb-1c39-407d-acf3-dccce9450b37,"Exploiting these issues could allow an attacker to compromise the
  application, access or modify data, exploit latent vulnerabilities in
  the underlying database, and gain unauthorized access to the affected
  application. Other attacks are also possible.","The vendor has released an advisory and fixes. Please see the
  references for details.","Versions prior to Tiki Wiki CMS Groupware 4.2 are vulnerable.","","
Details:
Tiki Wiki CMS Groupware < 4.2 Multiple Unspecified Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.100537)
Version used: $Revision: 13960 $
","Product: cpe:/a:tiki:tikiwiki_cms/groupware:1.9.5
Method: Tiki Wiki CMS Groupware Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.901001)
","38608","","http://www.securityfocus.com/bid/38608, http://tikiwiki.svn.sourceforge.net/viewvc/tikiwiki?view=rev&revision=24734, http://tikiwiki.svn.sourceforge.net/viewvc/tikiwiki?view=rev&revision=25046, http://tikiwiki.svn.sourceforge.net/viewvc/tikiwiki?view=rev&revision=25424, http://tikiwiki.svn.sourceforge.net/viewvc/tikiwiki?view=rev&revision=25435, http://info.tikiwiki.org/article86-Tiki-Announces-3-5-and-4-2-Releases, http://info.tikiwiki.org/tiki-index.php?page=homepage"
192.168.100.8,,80,tcp,7.5,High,"VendorFix","Tiki Wiki CMS Groupware < 4.2 Multiple Unspecified Vulnerabilities","Tiki Wiki CMS Groupware is prone to multiple unspecified vulnerabilities, including:

  - An unspecified SQL-injection vulnerability

  - An unspecified authentication-bypass vulnerability

  - An unspecified vulnerability","Installed version: 1.9.5
Fixed version:     4.2",1.3.6.1.4.1.25623.1.0.100537,"CVE-2010-1135, CVE-2010-1134, CVE-2010-1133, CVE-2010-1136",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,fea787b7-9872-4143-8e07-dc31450571fd,"Exploiting these issues could allow an attacker to compromise the
  application, access or modify data, exploit latent vulnerabilities in
  the underlying database, and gain unauthorized access to the affected
  application. Other attacks are also possible.","The vendor has released an advisory and fixes. Please see the
  references for details.","Versions prior to Tiki Wiki CMS Groupware 4.2 are vulnerable.","","
Details:
Tiki Wiki CMS Groupware < 4.2 Multiple Unspecified Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.100537)
Version used: $Revision: 13960 $
","Product: cpe:/a:tiki:tikiwiki_cms/groupware:1.9.5
Method: Tiki Wiki CMS Groupware Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.901001)
","38608","","http://www.securityfocus.com/bid/38608, http://tikiwiki.svn.sourceforge.net/viewvc/tikiwiki?view=rev&revision=24734, http://tikiwiki.svn.sourceforge.net/viewvc/tikiwiki?view=rev&revision=25046, http://tikiwiki.svn.sourceforge.net/viewvc/tikiwiki?view=rev&revision=25424, http://tikiwiki.svn.sourceforge.net/viewvc/tikiwiki?view=rev&revision=25435, http://info.tikiwiki.org/article86-Tiki-Announces-3-5-and-4-2-Releases, http://info.tikiwiki.org/tiki-index.php?page=homepage"
192.168.100.8,,443,tcp,7.5,High,"VendorFix","Joomla! < 3.8.12 Multiple Vulnerabilities","This host is running Joomla and is prone to multiple vulnerabilities.","Installed version: 1.5.15
Fixed version:     3.8.12
Installation
path / port:       /joomla",1.3.6.1.4.1.25623.1.0.112371,"CVE-2018-15880, CVE-2018-15882",d9d3eeea-7715-40a8-84de-517aea0bb267,"OWASP BWA",2026-07-29T08:55:28Z,254e40bf-4a2b-44ad-982f-43cd9486629a,"","Upgrade to version 3.8.12 or later.","Joomla! CMS versions 1.5.0 through 3.8.11","The following vulnerabilities exist:

  - Inadequate output filtering on the user profile page could lead to a stored XSS attack. (CVE-2018-15880)

  - Inadequate checks in the InputFilter class could allow specifically prepared PHAR files to pass the upload filter. (CVE-2018-15882)","Checks if a vulnerable version is present on the target host.
Details:
Joomla! < 3.8.12 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.112371)
Version used: $Revision: 12252 $
","Product: cpe:/a:joomla:joomla:1.5.15
Method: joomla Version Detection
(OID: 1.3.6.1.4.1.25623.1.0.100330)
","","DFN-CERT-2018-1744","https://developer.joomla.org/security-centre/744-20180802-core-stored-xss-vulnerability-in-the-frontend-profile.html, https://developer.joomla.org/security-centre/743-20180801-core-hardening-the-inputfilter-for-phar-stubs.html, https://www.joomla.org"
